model_type,block_shape,mantissa,acc,acc_norm
awq_fix,128x1,4,0.3679,0.4872
awq_fix,16x8,4,0.3610,0.4761
awq_fix,16x8,5,0.4357,0.5837
awq_fix,1x128,4,0.2902,0.3237
awq_fix,1x128,5,0.4149,0.5555
awq_fix,2x64,4,0.3049,0.3515
awq_fix,2x64,5,0.4167,0.5517
awq_fix,32x4,4,0.3769,0.4982
awq_fix,32x4,5,0.4416,0.5916
awq_fix,4x32,4,0.3235,0.3920
awq_fix,4x32,5,0.4214,0.5667
awq_fix,64x2,4,0.3784,0.5038
awq_fix,64x2,5,0.4466,0.5979
awq_fix,8x16,4,0.3444,0.4493
awq_fix,8x16,5,0.4297,0.5759
awq_mix,128x1,4,0.4254,0.5742
awq_mix,128x1,5,0.4545,0.6119
awq_mix,16x8,4,0.4378,0.5932
awq_mix,16x8,5,0.4558,0.6115
awq_mix,1x128,4,0.4432,0.5964
awq_mix,1x128,5,0.4584,0.6156
awq_mix,2x64,4,0.4398,0.5954
awq_mix,2x64,5,0.4558,0.6146
awq_mix,32x4,4,0.4353,0.5897
awq_mix,32x4,5,0.4553,0.6124
awq_mix,4x32,4,0.4402,0.5935
awq_mix,4x32,5,0.4565,0.6131
awq_mix,64x2,4,0.4240,0.5715
awq_mix,64x2,5,0.4521,0.6098
awq_mix,8x16,4,0.4405,0.5920
awq_mix,8x16,5,0.4551,0.6118
